t, round_converg, size, size_param
0, 17, 56, 224 
0, 33, 56, 224 
0, 45, 56, 224 
0, 59, 56, 224 
0, 70, 56, 224 
0, 81, 56, 224 
0, 92, 56, 224 
1, 14, 56, 224 
1, 32, 56, 224 
1, 46, 56, 224 
1, 58, 56, 224 
1, 68, 56, 224 
1, 78, 56, 224 
1, 91, 56, 224 
2, 11, 56, 224 
2, 23, 56, 224 
2, 36, 56, 224 
2, 48, 56, 224 
2, 57, 56, 224 
2, 69, 56, 224 
2, 79, 56, 224 
2, 84, 56, 224 
2, 92, 56, 224 
3, 11, 56, 224 
3, 25, 56, 224 
3, 37, 56, 224 
3, 48, 56, 224 
3, 60, 56, 224 
3, 72, 56, 224 
3, 84, 56, 224 
3, 95, 56, 224 
4, 15, 56, 224 
4, 28, 56, 224 
4, 41, 56, 224 
4, 55, 56, 224 
4, 65, 56, 224 
4, 77, 56, 224 
4, 91, 56, 224 
4, 100, 56, 224 
5, 11, 56, 224 
5, 22, 56, 224 
5, 34, 56, 224 
5, 42, 56, 224 
5, 56, 56, 224 
5, 66, 56, 224 
5, 73, 56, 224 
5, 85, 56, 224 
5, 93, 56, 224 
6, 15, 56, 224 
6, 33, 56, 224 
6, 46, 56, 224 
6, 58, 56, 224 
6, 65, 56, 224 
6, 72, 56, 224 
6, 80, 56, 224 
6, 92, 56, 224 
6, 99, 56, 224 
7, 13, 56, 224 
7, 29, 56, 224 
7, 44, 56, 224 
7, 56, 56, 224 
7, 67, 56, 224 
7, 80, 56, 224 
7, 90, 56, 224 
8, 12, 56, 224 
8, 24, 56, 224 
8, 36, 56, 224 
8, 47, 56, 224 
8, 63, 56, 224 
8, 73, 56, 224 
8, 85, 56, 224 
8, 93, 56, 224 
9, 12, 56, 224 
9, 22, 56, 224 
9, 33, 56, 224 
9, 42, 56, 224 
9, 50, 56, 224 
9, 59, 56, 224 
9, 67, 56, 224 
9, 74, 56, 224 
9, 84, 56, 224 
9, 94, 56, 224 
9, 99, 56, 224 
