t, round_converg, size, size_param
0, 15, 56, 224 
0, 25, 56, 224 
0, 30, 56, 224 
0, 35, 56, 224 
0, 40, 56, 224 
0, 50, 56, 224 
0, 58, 56, 224 
0, 63, 56, 224 
0, 68, 56, 224 
0, 73, 56, 224 
0, 78, 56, 224 
0, 84, 56, 224 
0, 89, 56, 224 
0, 94, 56, 224 
0, 99, 56, 224 
1, 28, 56, 224 
1, 33, 56, 224 
1, 42, 56, 224 
1, 49, 56, 224 
1, 59, 56, 224 
1, 64, 56, 224 
1, 69, 56, 224 
1, 74, 56, 224 
1, 79, 56, 224 
1, 88, 56, 224 
1, 93, 56, 224 
1, 98, 56, 224 
2, 20, 56, 224 
2, 32, 56, 224 
2, 54, 56, 224 
2, 59, 56, 224 
2, 68, 56, 224 
2, 73, 56, 224 
2, 78, 56, 224 
2, 83, 56, 224 
2, 88, 56, 224 
2, 93, 56, 224 
2, 98, 56, 224 
3, 26, 56, 224 
3, 35, 56, 224 
3, 40, 56, 224 
3, 45, 56, 224 
3, 50, 56, 224 
3, 55, 56, 224 
3, 64, 56, 224 
3, 69, 56, 224 
3, 74, 56, 224 
3, 81, 56, 224 
3, 86, 56, 224 
3, 91, 56, 224 
3, 96, 56, 224 
4, 21, 56, 224 
4, 31, 56, 224 
4, 46, 56, 224 
4, 53, 56, 224 
4, 60, 56, 224 
4, 65, 56, 224 
4, 70, 56, 224 
4, 84, 56, 224 
4, 89, 56, 224 
4, 94, 56, 224 
4, 99, 56, 224 
5, 33, 56, 224 
5, 43, 56, 224 
5, 48, 56, 224 
5, 56, 56, 224 
5, 62, 56, 224 
5, 67, 56, 224 
5, 72, 56, 224 
5, 77, 56, 224 
5, 82, 56, 224 
5, 87, 56, 224 
5, 92, 56, 224 
5, 97, 56, 224 
6, 34, 56, 224 
6, 39, 56, 224 
6, 49, 56, 224 
6, 57, 56, 224 
6, 62, 56, 224 
6, 70, 56, 224 
6, 75, 56, 224 
6, 85, 56, 224 
6, 90, 56, 224 
6, 95, 56, 224 
6, 100, 56, 224 
7, 23, 56, 224 
7, 28, 56, 224 
7, 33, 56, 224 
7, 38, 56, 224 
7, 48, 56, 224 
7, 53, 56, 224 
7, 58, 56, 224 
7, 63, 56, 224 
7, 68, 56, 224 
7, 73, 56, 224 
7, 78, 56, 224 
7, 83, 56, 224 
7, 88, 56, 224 
7, 93, 56, 224 
7, 98, 56, 224 
8, 20, 56, 224 
8, 25, 56, 224 
8, 36, 56, 224 
8, 41, 56, 224 
8, 52, 56, 224 
8, 57, 56, 224 
8, 62, 56, 224 
8, 67, 56, 224 
8, 74, 56, 224 
8, 79, 56, 224 
8, 84, 56, 224 
8, 89, 56, 224 
8, 98, 56, 224 
9, 28, 56, 224 
9, 33, 56, 224 
9, 38, 56, 224 
9, 43, 56, 224 
9, 53, 56, 224 
9, 61, 56, 224 
9, 67, 56, 224 
9, 72, 56, 224 
9, 77, 56, 224 
9, 82, 56, 224 
9, 87, 56, 224 
9, 92, 56, 224 
9, 97, 56, 224 
