t, round_converg, size, size_param
0, 30, 56, 224 
0, 35, 56, 224 
0, 40, 56, 224 
0, 46, 56, 224 
0, 62, 56, 224 
0, 68, 56, 224 
0, 73, 56, 224 
0, 78, 56, 224 
0, 92, 56, 224 
0, 97, 56, 224 
1, 12, 56, 224 
1, 18, 56, 224 
1, 28, 56, 224 
1, 33, 56, 224 
1, 45, 56, 224 
1, 54, 56, 224 
1, 59, 56, 224 
1, 64, 56, 224 
1, 71, 56, 224 
1, 76, 56, 224 
1, 81, 56, 224 
1, 86, 56, 224 
1, 91, 56, 224 
2, 21, 56, 224 
2, 27, 56, 224 
2, 32, 56, 224 
2, 37, 56, 224 
2, 45, 56, 224 
2, 52, 56, 224 
2, 57, 56, 224 
2, 62, 56, 224 
2, 67, 56, 224 
2, 77, 56, 224 
2, 82, 56, 224 
2, 87, 56, 224 
2, 92, 56, 224 
2, 100, 56, 224 
3, 34, 56, 224 
3, 41, 56, 224 
3, 46, 56, 224 
3, 56, 56, 224 
3, 61, 56, 224 
3, 68, 56, 224 
3, 77, 56, 224 
3, 82, 56, 224 
3, 87, 56, 224 
3, 92, 56, 224 
3, 97, 56, 224 
4, 32, 56, 224 
4, 37, 56, 224 
4, 45, 56, 224 
4, 51, 56, 224 
4, 56, 56, 224 
4, 61, 56, 224 
4, 71, 56, 224 
4, 76, 56, 224 
4, 81, 56, 224 
4, 86, 56, 224 
4, 95, 56, 224 
4, 100, 56, 224 
5, 14, 56, 224 
5, 28, 56, 224 
5, 33, 56, 224 
5, 40, 56, 224 
5, 45, 56, 224 
5, 50, 56, 224 
5, 55, 56, 224 
5, 60, 56, 224 
5, 65, 56, 224 
5, 70, 56, 224 
5, 75, 56, 224 
5, 85, 56, 224 
5, 90, 56, 224 
5, 100, 56, 224 
6, 29, 56, 224 
6, 34, 56, 224 
6, 41, 56, 224 
6, 46, 56, 224 
6, 51, 56, 224 
6, 59, 56, 224 
6, 64, 56, 224 
6, 74, 56, 224 
6, 79, 56, 224 
6, 88, 56, 224 
6, 93, 56, 224 
6, 98, 56, 224 
7, 18, 56, 224 
7, 27, 56, 224 
7, 36, 56, 224 
7, 46, 56, 224 
7, 51, 56, 224 
7, 56, 56, 224 
7, 61, 56, 224 
7, 66, 56, 224 
7, 71, 56, 224 
7, 76, 56, 224 
7, 81, 56, 224 
7, 86, 56, 224 
7, 91, 56, 224 
7, 96, 56, 224 
8, 28, 56, 224 
8, 33, 56, 224 
8, 40, 56, 224 
8, 45, 56, 224 
8, 50, 56, 224 
8, 56, 56, 224 
8, 64, 56, 224 
8, 69, 56, 224 
8, 74, 56, 224 
8, 79, 56, 224 
8, 87, 56, 224 
8, 92, 56, 224 
8, 97, 56, 224 
9, 34, 56, 224 
9, 41, 56, 224 
9, 46, 56, 224 
9, 51, 56, 224 
9, 56, 56, 224 
9, 61, 56, 224 
9, 66, 56, 224 
9, 71, 56, 224 
9, 76, 56, 224 
9, 81, 56, 224 
9, 86, 56, 224 
9, 91, 56, 224 
9, 96, 56, 224 
