t, round_converg, size, size_param
0, 29, 56, 224 
0, 37, 56, 224 
0, 42, 56, 224 
0, 48, 56, 224 
0, 58, 56, 224 
0, 63, 56, 224 
0, 68, 56, 224 
0, 77, 56, 224 
0, 86, 56, 224 
0, 93, 56, 224 
0, 98, 56, 224 
1, 20, 56, 224 
1, 32, 56, 224 
1, 37, 56, 224 
1, 46, 56, 224 
1, 51, 56, 224 
1, 56, 56, 224 
1, 61, 56, 224 
1, 66, 56, 224 
1, 71, 56, 224 
1, 76, 56, 224 
1, 82, 56, 224 
1, 87, 56, 224 
1, 95, 56, 224 
1, 100, 56, 224 
2, 27, 56, 224 
2, 44, 56, 224 
2, 51, 56, 224 
2, 56, 56, 224 
2, 61, 56, 224 
2, 66, 56, 224 
2, 71, 56, 224 
2, 76, 56, 224 
2, 81, 56, 224 
2, 86, 56, 224 
2, 91, 56, 224 
2, 96, 56, 224 
3, 29, 56, 224 
3, 41, 56, 224 
3, 46, 56, 224 
3, 51, 56, 224 
3, 59, 56, 224 
3, 64, 56, 224 
3, 69, 56, 224 
3, 74, 56, 224 
3, 79, 56, 224 
3, 84, 56, 224 
3, 89, 56, 224 
3, 94, 56, 224 
3, 99, 56, 224 
4, 28, 56, 224 
4, 33, 56, 224 
4, 38, 56, 224 
4, 45, 56, 224 
4, 54, 56, 224 
4, 59, 56, 224 
4, 69, 56, 224 
4, 75, 56, 224 
4, 80, 56, 224 
4, 85, 56, 224 
4, 90, 56, 224 
4, 95, 56, 224 
4, 100, 56, 224 
5, 26, 56, 224 
5, 39, 56, 224 
5, 49, 56, 224 
5, 54, 56, 224 
5, 64, 56, 224 
5, 72, 56, 224 
5, 80, 56, 224 
5, 85, 56, 224 
5, 90, 56, 224 
5, 95, 56, 224 
5, 100, 56, 224 
6, 26, 56, 224 
6, 38, 56, 224 
6, 43, 56, 224 
6, 51, 56, 224 
6, 56, 56, 224 
6, 61, 56, 224 
6, 71, 56, 224 
6, 76, 56, 224 
6, 81, 56, 224 
6, 86, 56, 224 
6, 93, 56, 224 
7, 23, 56, 224 
7, 36, 56, 224 
7, 41, 56, 224 
7, 46, 56, 224 
7, 56, 56, 224 
7, 72, 56, 224 
7, 77, 56, 224 
7, 82, 56, 224 
7, 87, 56, 224 
7, 92, 56, 224 
7, 97, 56, 224 
8, 18, 56, 224 
8, 26, 56, 224 
8, 32, 56, 224 
8, 40, 56, 224 
8, 45, 56, 224 
8, 50, 56, 224 
8, 55, 56, 224 
8, 60, 56, 224 
8, 65, 56, 224 
8, 73, 56, 224 
8, 78, 56, 224 
8, 83, 56, 224 
8, 88, 56, 224 
8, 93, 56, 224 
8, 98, 56, 224 
9, 22, 56, 224 
9, 33, 56, 224 
9, 38, 56, 224 
9, 43, 56, 224 
9, 48, 56, 224 
9, 53, 56, 224 
9, 58, 56, 224 
9, 63, 56, 224 
9, 68, 56, 224 
9, 73, 56, 224 
9, 78, 56, 224 
9, 83, 56, 224 
9, 88, 56, 224 
9, 93, 56, 224 
9, 100, 56, 224 
