t, round_converg, size, size_param
0, 10, 56, 224 
0, 22, 56, 224 
0, 33, 56, 224 
0, 43, 56, 224 
0, 52, 56, 224 
0, 60, 56, 224 
0, 68, 56, 224 
0, 77, 56, 224 
0, 84, 56, 224 
0, 89, 56, 224 
0, 96, 56, 224 
1, 10, 56, 224 
1, 20, 56, 224 
1, 33, 56, 224 
1, 42, 56, 224 
1, 51, 56, 224 
1, 60, 56, 224 
1, 70, 56, 224 
1, 77, 56, 224 
1, 84, 56, 224 
1, 91, 56, 224 
1, 98, 56, 224 
2, 13, 56, 224 
2, 24, 56, 224 
2, 36, 56, 224 
2, 45, 56, 224 
2, 55, 56, 224 
2, 63, 56, 224 
2, 71, 56, 224 
2, 80, 56, 224 
2, 89, 56, 224 
2, 96, 56, 224 
3, 9, 56, 224 
3, 20, 56, 224 
3, 30, 56, 224 
3, 38, 56, 224 
3, 47, 56, 224 
3, 56, 56, 224 
3, 64, 56, 224 
3, 73, 56, 224 
3, 82, 56, 224 
3, 89, 56, 224 
3, 94, 56, 224 
4, 10, 56, 224 
4, 21, 56, 224 
4, 30, 56, 224 
4, 37, 56, 224 
4, 45, 56, 224 
4, 53, 56, 224 
4, 62, 56, 224 
4, 72, 56, 224 
4, 81, 56, 224 
4, 90, 56, 224 
4, 97, 56, 224 
5, 10, 56, 224 
5, 21, 56, 224 
5, 29, 56, 224 
5, 38, 56, 224 
5, 47, 56, 224 
5, 55, 56, 224 
5, 63, 56, 224 
5, 70, 56, 224 
5, 77, 56, 224 
5, 86, 56, 224 
5, 93, 56, 224 
5, 100, 56, 224 
6, 9, 56, 224 
6, 19, 56, 224 
6, 29, 56, 224 
6, 38, 56, 224 
6, 46, 56, 224 
6, 54, 56, 224 
6, 63, 56, 224 
6, 73, 56, 224 
6, 80, 56, 224 
6, 88, 56, 224 
6, 95, 56, 224 
7, 9, 56, 224 
7, 22, 56, 224 
7, 34, 56, 224 
7, 43, 56, 224 
7, 51, 56, 224 
7, 58, 56, 224 
7, 68, 56, 224 
7, 75, 56, 224 
7, 83, 56, 224 
7, 90, 56, 224 
7, 99, 56, 224 
8, 10, 56, 224 
8, 19, 56, 224 
8, 29, 56, 224 
8, 41, 56, 224 
8, 50, 56, 224 
8, 58, 56, 224 
8, 66, 56, 224 
8, 74, 56, 224 
8, 83, 56, 224 
8, 90, 56, 224 
8, 97, 56, 224 
9, 10, 56, 224 
9, 20, 56, 224 
9, 29, 56, 224 
9, 40, 56, 224 
9, 48, 56, 224 
9, 56, 56, 224 
9, 64, 56, 224 
9, 74, 56, 224 
9, 81, 56, 224 
9, 89, 56, 224 
9, 96, 56, 224 
