acuracia,loss,frr,fpr, removed, n_clf, tp_removed
0.05917564563023773, 2.3122767483683133
0.16601105980274786, 2.343956425418183, 0.8481616387162808, 0.27218935005366635, 1,1, 1
0.10255971723390912, 2.285892351507821, 0.8791815855730625, 0.47756922682545944, 2,3, 2
0.2857875833760903, 2.3639811446678816, 0.7282486814993099, 0.2727894419176256, 3,3, 3
0.18488113562510688, 2.4860683148130573, 0.8337517844072961, 0.32229844072863295, 0,0, 0
0.22478764038538282, 2.288018146206026, 0.7778767764822965, 0.251025617211398, 2,2, 2
0.11287839917906618, 2.2250512261753865, 0.8958230880834782, 0.4766399669932146, 2,2, 2
0.19029701841400148, 2.140260268179233, 0.814275208952954, 0.3785245671218052, 3,3, 3
0.1816886152442848, 2.1665640511797375, 0.8174565395494326, 0.30441639031948825, 2,4, 2
0.19326150162476483, 2.211751732890931, 0.7988337207957685, 0.4150704850706428, 2,3, 2
0.11926343994071034, 2.2701446301281556, 0.890585236629977, 0.4452255366672804, 0,0, 0
0.24092127016703724, 2.156829102717174, 0.7472637097567768, 0.328609217787585, 4,4, 4
0.29245767060030786, 2.134842105143141, 0.68206693250288, 0.252569233575106, 1,1, 1
0.349238925944929, 1.9578667535530951, 0.6461672961763241, 0.2207655807258113, 3,3, 3
0.4140014822416054, 1.804524055319225, 0.5938400888302156, 0.20783086649291335, 2,2, 2
0.3331052961632746, 1.901829100468637, 0.6800757720267541, 0.21332727182666922, 4,4, 4
0.5045892480474318, 1.6280551301064292, 0.4992243049777701, 0.1455481938457997, 1,1, 1
0.5364004332706231, 1.5232927366580626, 0.45013209755908656, 0.15043162699607998, 2,2, 2
0.47004161678353573, 1.5578851299041299, 0.5246429985518061, 0.16408354384426954, 2,2, 2
0.5910153354996864, 1.350428403410983, 0.4122678245086271, 0.13093447775367514, 0,0, 0
0.5774471238811927, 1.3919707455161932, 0.4216271389628585, 0.13359773403666345, 2,2, 2
0.5817228208197937, 1.3350034565469175, 0.4142625779473036, 0.1295584966352865, 2,2, 2
0.6288124964369192, 1.377938648759826, 0.35512893601989476, 0.11267422817837619, 2,3, 2
0.5921555213499801, 1.408845886746954, 0.4119780920667599, 0.13502645268715616, 3,4, 3
0.6134199874579557, 1.2712674613169814, 0.3935955717921818, 0.11882496561621896, 2,2, 2
0.6592554586397583, 1.4840681626386105, 0.3267208858130287, 0.11058766587372741, 2,3, 2
0.7172909184197024, 1.3325715053568108, 0.28100072203331056, 0.09614336146071559, 2,2, 2
0.5292172624137734, 1.4025447306115273, 0.4785372192369095, 0.1724070441378152, 3,3, 3
0.659654523687361, 1.1553240046334112, 0.33522397368293566, 0.10748111118168534, 2,2, 2
0.6131349409953822, 1.2287643233771934, 0.37936415342979524, 0.12245100225291874, 2,2, 2
0.6704862892651502, 1.0457034828544316, 0.32250918933615963, 0.1043572197194599, 2,2, 2
0.6772703950743971, 1.073203702227405, 0.30561096119546555, 0.10202337777506176, 2,2, 2
0.7305740835756228, 0.8544564999996355, 0.2531557371802724, 0.09057555250219033, 2,2, 2
0.728407730460065, 0.8700005430442551, 0.2542061192999, 0.09190839937268447, 2,2, 2
0.7051479391140756, 0.9110214852085884, 0.2796812943945477, 0.09787162818629978, 3,4, 3
0.7356479106094294, 1.111632435105422, 0.24545515913484178, 0.09083077941409058, 2,5, 2
0.5619976056097143, 1.5293375600139347, 0.4376352248814671, 0.16384583977313283, 2,4, 2
0.4777378712730175, 1.7285155692453102, 0.4991023670587546, 0.17611681034131116, 3,5, 3
0.2378997776637592, 1.8301330147749966, 0.7384258384018787, 0.3016137900261971, 1,1, 1
0.3998061684054501, 1.6829900479725832, 0.6059743330773961, 0.21767299952227334, 1,1, 1
0.6128498945328088, 1.5574964244528389, 0.38266245276847366, 0.12964883573656888, 2,3, 2
0.5678695627387265, 1.5102075344106298, 0.4172876821341701, 0.13921464712181408, 3,4, 3
0.6094863462744428, 1.541591671376114, 0.37852800593422514, 0.13027897402060998, 2,3, 2
0.5965452368736104, 1.6192151753641875, 0.3957657051368582, 0.12896307979049362, 2,3, 2
0.5211789521692036, 1.54317105894798, 0.45318800255989883, 0.15754100397319382, 1,1, 1
0.5613705033920529, 1.4178976595816322, 0.42056255461682185, 0.14756699088708772, 2,2, 2
0.619405963171997, 1.3173750962657047, 0.37537172650719014, 0.12356812484822198, 2,2, 2
0.6427797731030158, 1.252974142363301, 0.33655327692706133, 0.10907757653617953, 4,4, 4
0.6003078501795792, 1.2498774186832644, 0.37852729208532515, 0.1198229294972081, 2,2, 2
0.6328601562054615, 1.2893077628240504, 0.34809392808415546, 0.10955998640614792, 2,3, 2
0.6199190468046292, 1.2959946158178162, 0.3570855220361715, 0.12142672247119972, 2,4, 2
0.6548087338236133, 1.2340577548881273, 0.33499635040570935, 0.10600336027715863, 1,1, 1
0.7083974687874124, 1.33109865743631, 0.2747244532256982, 0.09246200020078961, 2,3, 2
0.5738555384527678, 1.3637063901377244, 0.41998195948105355, 0.14041701926113823, 1,1, 1
0.46627900347756684, 1.4804067107938075, 0.5367106612794206, 0.19464757840470168, 4,4, 4
0.6718545122855025, 1.0904825743795168, 0.32496422652042767, 0.10227174021849034, 1,1, 1
0.6558919103813922, 1.055271981194081, 0.3244162437179455, 0.11574331711133472, 2,2, 2
0.6955703779716094, 0.9640892803287548, 0.2784765046866388, 0.10017711107313299, 3,3, 3
0.6777834787070293, 0.9811477096630596, 0.3059737895802893, 0.10309842956118877, 2,2, 2
0.6471124793341315, 1.0221748576735206, 0.3275012229476952, 0.11998752698866294, 4,4, 4
0.7297189441879026, 0.8130036951101911, 0.25687109473543773, 0.09097876857342867, 2,2, 2
0.7039507439712673, 0.8235750560155549, 0.2862406260052737, 0.10197505301864458, 2,2, 2
0.6976227125021378, 0.8830734851031724, 0.29152490290118765, 0.1027693244218643, 1,1, 1
0.7257282937118751, 0.8059396734531803, 0.2655432425387901, 0.09065919147310934, 1,1, 1
0.7183170856849667, 0.8578832835267188, 0.26889193020482577, 0.09369719229452216, 2,2, 2
0.7290348326777265, 0.8691446234853683, 0.2553816750102884, 0.09315751029241809, 1,1, 1
0.6786956273872641, 0.9837562469077976, 0.3033548027476314, 0.10612661572021574, 3,4, 3
0.7020694373182829, 0.9225778453450036, 0.2855906281951258, 0.09502137975078524, 1,1, 1
0.7133572772361895, 0.8775683880382386, 0.27492942395945774, 0.09465788960083527, 2,2, 2
0.7355909013169146, 0.8629596589803084, 0.24383798035225607, 0.08948777631941597, 2,2, 2
0.7549740607719059, 0.7287250156613367, 0.22857983414433788, 0.0835841305253387, 1,1, 1
0.7340516504190183, 0.7654605622444578, 0.24615982188569713, 0.0892071333043922, 2,2, 2
0.7399806168405451, 0.7458772689341304, 0.24283209823776858, 0.08853518193738186, 2,2, 2
0.760275924975771, 0.8605571924233326, 0.21509746664459675, 0.08554336584285348, 2,4, 2
0.7410067841058092, 0.818277038166171, 0.24573260017713466, 0.08860990408798367, 1,1, 1
0.7530927541189214, 1.1303767641969855, 0.23128548624904738, 0.08294200748027805, 5,6, 5
0.704178781141326, 1.1002317234592585, 0.2766672853482667, 0.09554444167550559, 3,3, 3
0.7090245710050739, 1.026033015718999, 0.2807921593326914, 0.09866974274678221, 2,2, 2
0.7131862493586455, 0.9575032276228783, 0.27219407600484513, 0.09937583276887979, 2,2, 2
0.6971096288695058, 0.9519938932392265, 0.2838165097291187, 0.10130262154018635, 1,1, 1
0.6952283222165213, 0.8683222744478603, 0.29143946164226137, 0.10206550731442893, 2,2, 2
0.7014423351006214, 0.8960198483922402, 0.2933724551496322, 0.10157613590968455, 3,3, 3
0.7356479106094294, 0.8013570880886155, 0.2432697080991759, 0.09376821727934397, 2,2, 2
